Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
18/10/21,22/10/21,greyhound,54,1300
18/10/21,22/10/21,hceecommunity,93,1579
18/10/21,22/10/21,lakeland,25,759
18/10/21,22/10/21,martz,18,735
18/10/21,22/10/21,njtransit,2139,49531
18/10/21,22/10/21,peterpanbonanza,29,763
18/10/21,22/10/21,trailways,18,482
18/10/21,22/10/21,transbridge,18,557
25/10/21,29/10/21,academy,33,1015
25/10/21,29/10/21,cjbuslines,0,0
25/10/21,29/10/21,coachusa,126,3434
25/10/21,29/10/21,decamp,16,263
25/10/21,29/10/21,greyhound,53,1230
25/10/21,29/10/21,hceecommunity,89,1545
25/10/21,29/10/21,lakeland,25,701
25/10/21,29/10/21,martz,18,715
25/10/21,29/10/21,njtransit,2137,50615
25/10/21,29/10/21,peterpanbonanza,29,741
25/10/21,29/10/21,trailways,17,421
25/10/21,29/10/21,transbridge,18,533
01/11/21,05/11/21,academy,35,999
01/11/21,05/11/21,cjbuslines,0,0
01/11/21,05/11/21,coachusa,125,3624
01/11/21,05/11/21,decamp,33,338
01/11/21,05/11/21,greyhound,54,1296
01/11/21,05/11/21,hceecommunity,98,1575
01/11/21,05/11/21,lakeland,29,825
01/11/21,05/11/21,martz,18,718
01/11/21,05/11/21,njtransit,2131,50514
01/11/21,05/11/21,peterpanbonanza,29,774
01/11/21,05/11/21,trailways,17,379
01/11/21,05/11/21,transbridge,18,551
08/11/21,12/11/21,academy,35,998
08/11/21,12/11/21,cjbuslines,0,0
08/11/21,12/11/21,coachusa,125,3753
08/11/21,12/11/21,decamp,37,380
08/11/21,12/11/21,greyhound,54,1241
08/11/21,12/11/21,hceecommunity,96,1616
08/11/21,12/11/21,lakeland,29,809
08/11/21,12/11/21,martz,18,724
08/11/21,12/11/21,njtransit,2120,52268
08/11/21,12/11/21,peterpanbonanza,29,733
08/11/21,12/11/21,trailways,18,438
08/11/21,12/11/21,transbridge,18,595
15/11/21,19/11/21,academy,33,1098
15/11/21,19/11/21,cjbuslines,0,0
15/11/21,19/11/21,coachusa,126,3777
15/11/21,19/11/21,decamp,37,406
15/11/21,19/11/21,greyhound,54,1219
15/11/21,19/11/21,hceecommunity,99,1652
15/11/21,19/11/21,lakeland,29,815
15/11/21,19/11/21,martz,18,738
15/11/21,19/11/21,njtransit,2127,51546
15/11/21,19/11/21,peterpanbonanza,29,697
15/11/21,19/11/21,trailways,19,437
15/11/21,19/11/21,transbridge,18,567
22/11/21,26/11/21,academy,0,0
22/11/21,26/11/21,cjbuslines,0,0
22/11/21,26/11/21,coachusa,0,0
22/11/21,26/11/21,decamp,0,0
22/11/21,26/11/21,greyhound,0,0
22/11/21,26/11/21,hceecommunity,0,0
22/11/21,26/11/21,lakeland,0,0
22/11/21,26/11/21,martz,0,0
22/11/21,26/11/21,njtransit,0,0
22/11/21,26/11/21,peterpanbonanza,0,0
22/11/21,26/11/21,trailways,0,0
22/11/21,26/11/21,transbridge,0,0
29/11/21,03/12/21,academy,36,1103
29/11/21,03/12/21,cjbuslines,0,0
29/11/21,03/12/21,coachusa,129,3908
29/11/21,03/12/21,decamp,37,428
29/11/21,03/12/21,greyhound,55,1408
29/11/21,03/12/21,hceecommunity,92,1638
29/11/21,03/12/21,lakeland,29,863
29/11/21,03/12/21,martz,18,713
29/11/21,03/12/21,njtransit,2155,51761
29/11/21,03/12/21,peterpanbonanza,27,733
29/11/21,03/12/21,trailways,21,578
29/11/21,03/12/21,transbridge,18,562
06/12/21,10/12/21,academy,35,1043
